ZFA:0000368	3.1874001753529125E-10	2.543545339931624E-7	"integument"
ZFA:0000105	1.028500646728583E-9	8.207435160894093E-7	"epidermis"
ZFA:0009183	5.823883374164573E-6	0.004647458932583329	"epidermal cell"
ZFA:0001178	1.0303714613147346E-5	0.008222364261291581	"non neural ectoderm"
ZFA:0000016	2.1134001531460015E-5	0.016864933222105093	"ectoderm"
ZFA:0000018	2.4088282285674562E-5	0.0192224492639683	"epiblast"
ZFA:0000292	3.340923597434253E-5	0.026660570307525337	"surface structure"
ZFA:0001309	4.393290639228778E-5	0.03505845930104565	"neurogenic placode"
ZFA:0007013	4.481878428308196E-5	0.035765389857899406	"preplacodal ectoderm"
ZFA:0001486	5.163227692413582E-5	0.04120255698546038	"epithelium"
